 
 displacements (vx,vy,vz)
 
    1  2.0729E-05  0.0000E+00  0.0000E+00
    2 -8.2008E-05 -1.5225E-05 -1.6368E-04
    3 -2.8088E-05  5.3147E-05 -1.6594E-04
    4  4.3743E-05  0.0000E+00  0.0000E+00
    5  4.7437E-05  0.0000E+00  0.0000E+00
    6 -1.6387E-05 -1.9833E-06 -9.5596E-05
    7  3.9507E-05  3.3674E-05 -9.0703E-05
    8  6.8374E-05  0.0000E+00  0.0000E+00
    9 -9.1978E-06 -1.0751E-05 -5.8190E-05
   10 -5.5378E-05  2.2895E-05 -1.6423E-04
   11  2.2784E-05  2.9196E-05 -6.6851E-05
   12  3.4176E-05  0.0000E+00  0.0000E+00
   13  3.4983E-05  0.0000E+00  0.0000E+00
   14 -5.0625E-05 -3.0036E-06 -1.3203E-04
   15  7.0631E-06  4.4349E-05 -1.3039E-04
   16  5.6450E-05  0.0000E+00  0.0000E+00
   17  2.8518E-05 -1.0094E-06 -3.8127E-05
   18  1.3605E-05  1.8198E-05 -9.3019E-05
   19  5.9823E-05  1.9398E-05 -3.9485E-05
   20  5.9467E-05  0.0000E+00  0.0000E+00
   21 -2.9845E-04 -2.3471E-05 -4.2014E-04
   22 -1.7565E-04  6.9763E-05 -4.0626E-04
   23 -1.5062E-04 -7.2279E-06 -2.3171E-04
   24 -2.2107E-05  4.0618E-05 -2.1563E-04
   25 -1.8256E-04 -1.8734E-05 -2.8754E-04
   26 -2.3870E-04  2.9404E-05 -4.1295E-04
   27 -9.6805E-05  6.5497E-05 -2.8136E-04
   28 -2.2670E-04 -6.1874E-06 -3.2293E-04
   29 -9.5496E-05  5.6132E-05 -3.0996E-04
   30 -7.8822E-05 -3.9266E-06 -1.6198E-04
   31 -8.2408E-05  1.9774E-05 -2.2521E-04
   32  1.0689E-05  4.0225E-05 -1.5109E-04
   33 -5.4707E-04 -3.6096E-05 -6.8417E-04
   34 -3.4584E-04  6.0751E-05 -6.5664E-04
   35 -3.0494E-04 -1.8931E-05 -3.6953E-04
   36 -9.4805E-05  2.8167E-05 -3.4280E-04
   37 -4.2175E-04 -2.8858E-05 -5.5377E-04
   38 -4.4949E-04  1.9228E-05 -6.6995E-04
   39 -2.5966E-04  6.7827E-05 -5.3323E-04
   40 -4.2958E-04 -1.7773E-05 -5.2027E-04
   41 -2.1433E-04  4.5533E-05 -4.9666E-04
